country,iso3,staffcount,staffcity,ofac,popurban,poptotal,disasters,conflict,security,vuln,coping,emdat,usaid,oda,top25,usmigr,ctpall,ctparc,iroccash,irocpeople,irocsupp,isdstaff,ifrcoffice,fy16cbh,fy16dr,fy16measles,fyresilience,fy16od,fy16urbandp
Hong Kong S.A.R.,HKG,,,0,3,2,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,HUN,,,0,3,3,3.5,0.4,9.6,1.6,2.1,1,1,0,4,4,0,0,0,0,0,0,10,0,0,0,0,0,0
Iceland,ISL,,,0,1,1,1.7,0,10,0.8,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
India,IND,,,0,9,10,7.8,6.9,3.1,4.6,5.1,9,6,8,7,6,0,0,10,0,10,0,10,0,0,0,0,0,0
Indonesia,IDN,14,Jakarta,0,8,9,7.4,5.5,4.5,2.7,5.2,6,7,1,5,2,10,0,10,10,10,10,10,0,0,0,10,10,0
Iran,IRN,,,comprehensive,7,6,6.7,1.4,8.6,4.3,4.9,7,0,3,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0
Iraq,IRQ,,,targeted,5,4,5.1,10,0,6,7.1,1,8,8,3,2,10,0,10,10,0,0,10,0,0,0,0,0,0
Ireland,IRL,,,0,2,2,2.4,0.1,9.9,1.3,2,1,1,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man,IMN,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,ISR,,,0,3,2,3.3,2.4,7.6,2.1,2.3,1,3,0,5,3,0,0,10,0,0,0,0,0,0,0,0,0,0
Italy,ITA,,,0,6,6,5.1,3.6,6.4,2.2,2.5,1,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivory Coast,CIV,,,0,4,4,1.5,2.7,7.3,5.9,7.6,1,6,8,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0
Jamaica,JAM,,,0,1,1,3.9,0.2,9.8,2.2,4.3,2,3,1,1,5,10,10,10,0,0,0,0,0,0,0,10,0,10
Japan,JPN,,,0,8,7,8.5,1.8,8.2,0.8,1.6,4,1,0,7,6,0,0,10,10,0,0,0,0,0,0,0,0,0
Jordan,JOR,,,0,2,2,2.8,1.3,8.7,6,4.4,1,9,8,2,2,10,10,10,10,0,0,10,0,0,0,0,0,0
Kazakhstan,KAZ,5,Almaty,0,3,3,3.5,0.6,9.4,1,4,1,4,2,3,1,10,0,0,0,0,7,10,10,0,0,10,10,0
Kenya,KEN,8,Nairobi,0,3,5,4.2,7,3,6.1,6.6,7,9,9,3,1,10,10,10,0,10,10,10,0,0,10,0,10,10
Kiribati,KIR,,,0,1,1,4.7,0.1,9.9,5.2,6.5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,KOS,,,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Kuwait,KWT,,,0,2,2,2.2,0.5,9.5,1.5,3.7,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,KGZ,,,0,2,2,5.4,1.1,8.9,2.3,4.6,3,5,5,1,1,0,0,10,0,0,0,10,0,0,0,10,0,0
Laos,LAO,,,0,2,2,4.4,1.1,8.9,3.7,6.5,3,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,LVA,,,0,1,1,1.8,0.1,9.9,1.4,2.9,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,LBN,,,targeted,2,2,4.1,4.8,5.2,6.9,4.3,1,6,6,3,3,10,0,0,0,0,0,10,0,0,0,0,0,0
Lesotho,LSO,,,0,1,1,2,1.3,8.7,5.2,6.6,3,5,4,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,LBR,4,Monrovia,targeted,2,2,1.6,0.6,9.4,7.1,8,2,7,5,2,1,0,10,10,10,0,7,10,10,10,10,10,10,0
Libya,LBY,,,targeted,2,2,4.2,8,2,4.7,6.8,1,3,2,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,LIE,,,0,1,1,1.3,0,10,1.6,1.2,#N/A,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,LTU,,,0,1,1,1.5,0.1,9.9,1.2,2.6,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,LUX,,,0,1,1,0.3,0.1,9.9,1.2,1.3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao S.A.R,MAC,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,MKD,,,0,1,1,2.8,1.3,8.7,2.6,3.7,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,MDG,,,0,3,4,5.7,0.7,9.3,4.1,7.9,5,5,5,2,1,0,0,0,0,0,0,10,0,0,0,0,0,0
Malawi,MWI,,,0,2,3,3.3,0.5,9.5,5.7,6.4,6,7,7,1,1,0,0,10,0,10,0,0,0,0,0,0,0,0
Malaysia,MYS,1,Kuala Lumpur,0,5,4,4.3,3.2,6.8,3.2,3.3,2,1,2,6,2,10,0,0,0,0,4,10,0,0,0,0,0,0
Maldives,MDV,,,0,1,1,3.4,0,10,1.7,4.1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,MLI,,,0,3,3,3.2,8,2,6.7,6.8,5,7,7,2,1,10,0,0,0,0,0,10,0,0,0,0,0,0
Malta,MLT,,,0,1,1,1.6,0.1,9.9,2.2,2.3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,MHL,,,0,1,1,3.6,0,10,5.5,6.7,1,5,2,1,1,0,0,10,10,0,0,10,0,0,0,0,0,0
Mauritania,MRT,,,0,2,2,4.5,2,8,5.7,7,4,2,4,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,MUS,,,0,1,1,3.2,0,10,2,3,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,MEX,,,0,8,7,7.1,9,1,3.1,4.5,6,7,5,7,10,10,0,10,10,10,0,10,0,0,0,10,0,0
Moldova,MDA,,,0,1,2,3.8,3.2,6.8,2.1,4.8,4,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,MCO,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,MNG,,,0,2,1,2.7,2,8,2.3,5.2,4,3,5,1,1,10,0,10,0,0,0,10,0,0,10,0,0,0
Montenegro,MNE,,,0,1,1,3.9,0.1,9.9,2.4,3.6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,MAR,,,0,5,4,4.3,1.1,8.9,2.7,5.1,2,6,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,MOZ,,,0,3,4,6,3,7,6.2,6.8,6,8,9,2,1,0,0,10,0,10,0,0,0,0,0,0,0,0
Myanmar,MMR,1,Yangon,targeted,4,5,8.2,7,3,5.8,7,4,5,9,2,1,10,10,10,0,0,4,10,0,10,0,10,10,0
Namibia,NAM,,,0,1,1,3.2,0.6,9.4,4.4,5.5,3,7,4,2,1,10,10,10,10,0,0,0,0,0,0,0,0,0
Nepal,NPL,9,Kathmandu,0,2,4,5.5,2.5,7.5,5.1,6.1,4,5,6,1,1,10,10,10,10,10,10,10,10,10,10,10,10,0
Netherlands,NLD,,,0,4,3,1.7,0.1,9.9,2.1,1.4,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,NCL,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,NZL,,,0,2,2,5.8,0.1,9.9,1,2.1,2,1,0,6,1,0,10,10,0,0,0,0,0,0,0,0,0,0
Nicaragua,NIC,,,0,2,2,6.6,0.9,9.1,2.8,5.5,2,4,5,2,3,10,0,10,0,0,0,0,0,0,0,10,0,0
Niger,NER,,,0,2,3,3,3.8,6.2,6.7,7.9,6,5,6,1,1,10,0,10,0,0,0,10,0,0,10,0,0,0
Nigeria,NGA,,,0,7,8,2.3,9,1,5.5,6.6,6,9,9,4,2,0,0,10,10,0,0,10,0,0,0,0,0,0
North Korea,PRK,,,comprehensive,4,4,4.1,1.8,8.2,4,7.2,5,0,2,0,1,0,0,10,0,0,0,10,0,0,0,0,0,0
Northern Mariana Islands,MNP,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,NOR,,,0,2,2,0.2,0.3,9.7,1.9,1.6,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,OMN,,,0,2,2,5.8,0.3,9.7,1.6,4.2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,PAK,,,0,7,8,6.9,8,2,5.6,6.1,8,9,8,3,3,10,0,10,10,10,0,10,0,0,0,0,0,0
Palau,PLW,,,0,1,1,2.2,0,10,3.2,5.1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,PSX,,,0,2,2,2.4,9,1,6.8,4.8,1,0,9,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Panama,PAN,5,Panama City,0,2,2,5.5,1.2,8.8,3,4.4,1,1,1,3,3,0,10,10,10,10,7,10,0,0,0,10,0,0
Papua New Guinea,PNG,,,0,1,2,5.2,0.2,9.8,5.2,8.1,2,2,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,PRY,,,0,2,2,2.1,0.1,9.9,2.5,4.8,3,2,2,2,1,10,10,10,0,10,0,0,0,0,0,0,0,0
Peru,PER,6,Lima,0,5,4,7.6,1.3,8.7,3.3,4.7,6,6,5,5,3,10,10,10,0,0,10,10,0,0,0,10,10,0
Philippines,PHL,80,Manila and Tacloban,0,6,7,8.9,7,3,3.9,4.4,8,7,2,5,8,10,10,10,10,10,10,10,10,10,0,10,10,0
Poland,POL,,,0,5,5,2.1,1.3,8.7,1.7,2.9,1,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,PRT,,,0,3,3,4.6,0.1,9.9,1.1,2,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,PRI,,,0,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,QAT,,,0,2,1,0.9,0.1,9.9,1.6,2.4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Congo,COG,,,0,2,2,1.9,0.2,9.8,5,7.5,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Serbia,SRB,,,0,2,2,4.6,1.7,8.3,4.5,4.1,1,4,7,2,0,10,0,10,0,0,0,0,0,0,0,0,0,0
Romania,ROU,,,0,3,3,4.4,3.2,6.8,1.6,3.7,1,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,RUS,1,Moscow,targeted,8,8,6.1,7,3,3.1,4.8,4,2,0,6,2,10,0,0,0,0,4,10,10,0,0,0,0,0
Rwanda,RWA,,,0,2,3,2.9,2.2,7.8,5.9,5.4,3,7,7,1,1,0,0,10,0,0,0,0,10,0,0,10,10,0
Saint Barthelemy,BLM,,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,SHN,,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,KNA,,,0,1,1,3.1,0,10,2.5,2.9,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0
Saint Lucia,LCA,,,0,1,1,3.2,0,10,2.1,3.7,1,0,1,1,1,10,0,0,0,0,0,0,0,0,0,10,0,0
Saint Martin,MAF,,,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,SPM,,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,VCT,,,0,1,1,2.4,0,10,1.9,3.4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0
Samoa,WSM,,,0,1,1,1.3,0,10,3.9,4.4,1,1,2,1,1,10,0,10,0,0,0,0,0,0,0,0,0,0
San Marino,SMR,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,STP,,,0,1,1,0.1,0,10,3.8,5.7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,,,0,5,4,2.1,2.8,7.2,1.2,3.9,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,SEN,3,Dakar,0,3,3,2.4,2.4,7.6,5.3,6.2,3,7,7,1,1,10,0,10,10,0,7,10,0,0,0,0,10,0
Seychelles,SYC,,,0,1,1,2.4,0,10,2.6,3.6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,SLE,,,0,2,2,1.2,2.7,7.3,5.5,7.1,1,3,5,1,1,10,0,10,10,0,0,10,0,0,0,0,0,0
Singapore,SGP,,,0,2,2,0.1,0,10,0.5,1.2,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sint Maarten,SXM,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,SVK,,,0,2,2,3.2,0.6,9.4,1.1,2.6,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,SVN,,,0,1,1,2.6,0.1,9.9,0.9,1.9,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,SLB,,,0,1,1,6.4,0,10,6.4,7,1,1,4,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0
Somalia,SOM,,,targeted,2,3,6.2,10,0,8.3,9.1,6,7,7,1,1,10,0,0,0,10,0,10,0,0,10,0,0,0
Somaliland,SOL,,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
